Confidence Value,Gene Name Interactor A,Gene Name Interactor B
0.83,ENPP6,NDUFB5
0.83,ENPP6,NDUFB3
0.82,ENPP6,NDUFA7
0.83,ENPP6,GLMN
0.83,ENPP6,CRLF3
0.83,ENPP6,ZBTB33
0.82,ENPP6,PTPN1
0.82,ENPP6,IMPAD1
0.83,ENPP6,MKS1
0.83,ENPP6,RUNDC1
0.83,ENPP6,RIPK4
0.82,ENPP6,USP22
0.82,ENPP6,AGTRAP
0.82,ENPP7,TUBB3
0.82,ENPP7,CD109
0.82,ENPP7,ERGIC2
0.82,ENPP7,EPDR1
0.82,ENPP7,TUBB1
0.76,ENSA,MCM3
0.82,ENSA,DPP9
0.82,ENSA,RABGGTA
0.78,ENTPD1,RANBP9
0.82,ENTPD4,TYW1B
0.82,ENTPD4,PCYOX1
0.82,ENTPD4,ATP2A3
0.82,ENTPD7,JMJD8
0.82,ENTPD7,NDFIP1
0.82,ENTPD7,GOLPH3L
0.82,ENTPD7,DAGLB
0.82,ENTPD7,ATP2B2
0.82,ENTPD7,USP32
0.82,ENTPD7,PGK2
0.82,ENTPD7,GOLPH3
0.82,ENTPD7,COL4A3BP
0.88,ENTR1,GIT1
0.82,ENTR1,TFPT
0.82,ENTR1,KIF14
0.88,ENY2,TRRAP
0.79,ENY2,KAT2A
0.88,ENY2,TAF10
0.89,ENY2,USP22
0.89,ENY2,ATXN7L3
0.9,EP300,JUN
0.88,EP300,CCND1
0.88,EP300,PPARA
0.88,EP300,TFAP2A
0.9,EP300,PCNA
0.9,EP300,APEX1
0.77,EP300,MAF
0.9,EP300,TAL1
0.89,EP300,PTMA
0.9,EP300,CEBPB
0.88,EP300,MYB
0.89,EP300,CITED1
0.79,EP300,ELK1
0.9,EP300,YY1
0.88,EP300,CREBBP
0.79,EP300,SS18
0.86,EP300,RUNX3
0.79,EP300,CDX2
0.9,EP300,FEN1
0.81,EP300,PPARD
0.84,EP300,NFATC2
0.77,EP300,SUB1
0.79,EP300,ETV1
0.88,EP300,MEF2A
0.88,EP300,RORA
0.88,EP300,SMAD2
0.79,EP300,TSG101
0.77,EP300,MYBL2
0.89,EP300,STAT6
0.77,EP300,PROX1
0.83,EP300,ING1
0.85,EP300,SMAD1
0.9,EP300,BRCA1
0.79,EP300,TWIST1
0.88,EP300,NEUROD1
0.9,EP300,NCOA3
0.9,EP300,TP73
0.76,EP300,HAND2
0.77,EP300,DTX1
0.87,EP300,NCOA1
0.89,EP300,KLF5
0.86,EP300,STAT3
0.86,EP300,SMAD3
0.87,EP300,STAT5A
0.86,EP300,NCOA2
0.83,EP300,TP53BP1
0.77,EP300,MSH6
0.85,EP300,RAD50
0.89,EP300,PAX6
0.81,EP300,GABPA
0.84,EP300,ING2
0.87,EP300,IRF3
0.81,EP300,CHD4
0.86,EP300,ZBTB17
0.79,EP300,NAP1L4
0.83,EP300,TP63
0.77,EP300,PIAS3
0.79,EP300,ZBTB16
0.8,EP300,SNW1
0.85,EP300,SOX9
0.78,EP300,SET
0.9,EP300,TP53
0.9,EP300,EP300
0.82,EP300,COPS6
0.84,EP300,RAN
0.9,EP300,EGR1
0.9,EP300,ESR1
0.89,EP300,NR4A1
0.9,EP300,HNF1A
0.9,EP300,TCF3
0.79,EP300,LEF1
0.9,EP300,MYOD1
0.8,EP300,HMGN2
0.9,EP300,RELA
0.81,EP300,ETS2
0.9,EP300,MDM2
0.9,EP300,PPARG
0.83,EP300,POLR2A
0.76,EP300,HIST3H3
0.86,EP300,HIST4H4
0.89,EP300,HIPK2
0.83,EP300,STRAP
0.85,EP300,MCM3
0.85,EP300,MCM5
0.85,EP300,MCM4
0.88,EP300,VDR
0.84,EP300,EEF2
0.85,EP300,MCM2
0.84,EP300,ILF3
0.85,EP300,PRKDC
0.88,EP300,EWSR1
0.79,EP300,DDIT3
0.82,EP300,PRDX4
0.82,EP300,KHDRBS1
0.86,EP300,CLTC
0.79,EP300,HDAC3
0.82,EP300,SMAD5
0.76,EP300,MAX
0.78,EP300,GRIP1
0.81,EP300,NPM1
0.81,EP300,HIST1H3A
0.86,EP300,KLF4
0.81,EP300,HDAC1
0.81,EP300,PAX5
0.82,EP300,KLF8
0.86,EP300,SREBF1
0.76,EP300,PRMT1
0.81,EP300,PARP1
0.76,EP300,BAG6
0.82,EP300,ATF2
0.84,EP300,FOS
0.84,EP300,XRCC6
0.77,EP300,BRD7
0.77,EP300,CXXC1
0.84,EP300,WDR82
0.79,EP300,E2F1
0.86,EP300,FOXO1
0.78,EP300,RACK1
0.89,EP400,TRRAP
0.9,EP400,RUVBL2
0.9,EP400,RUVBL1
0.85,EP400,ACTL6A
0.9,EP400,KAT5
0.82,EP400,VPS72
0.95,EPAS1,ARNTL
0.82,EPAS1,EP300
0.96,EPAS1,VHL
0.9,EPAS1,ARNT
0.77,EPAS1,EIF3E
0.81,EPAS1,EGLN2
0.89,EPAS1,EGLN1
0.86,EPAS1,EGLN3
0.82,EPAS1,SUMO1
0.82,EPAS1,ARNT2
0.83,EPAS1,EPAS1
0.77,EPAS1,JUN
0.88,EPAS1,IKBKG
0.84,EPB41,GYPC
0.76,EPB41,MYH9
0.76,EPB41,VARS
0.76,EPB41,PAICS
0.76,EPB41,TAGLN2
0.76,EPB41,ECHS1
0.76,EPB41,CALR
0.76,EPB41,PFAS
0.82,EPB41L1,YWHAQ
0.82,EPB41L1,YWHAZ
0.94,EPB41L1,YWHAB
0.78,EPB41L1,DRD2
0.79,EPB41L1,DRD3
0.88,EPB41L1,GRIA1
0.94,EPB41L1,ITPR1
0.79,EPB41L1,NUMA1
0.9,EPB41L2,FKBP2
0.78,EPB41L2,ADORA1
0.87,EPB41L2,GRIA1
0.85,EPB41L2,NUMA1
0.82,EPB41L2,MLLT1
0.82,EPB41L2,MLLT3
0.82,EPB41L2,PNN
0.82,EPB41L2,SRP68
0.82,EPB41L2,AP3B1
0.82,EPB41L2,SETD1A
0.82,EPB41L2,ZRANB2
0.82,EPB41L2,PPIG
0.82,EPB41L2,SRRM2
0.82,EPB41L2,GPATCH8
0.82,EPB41L2,ACIN1
0.82,EPB41L2,RNPS1
0.82,EPB41L2,CLK2
0.82,EPB41L2,CLNS1A
0.82,EPB41L2,EPB41L1
0.82,EPB41L2,CWC22
0.9,EPB41L3,YWHAQ
0.87,EPB41L3,CLNS1A
0.9,EPB41L3,YWHAH
0.9,EPB41L3,YWHAB
0.85,EPB41L3,CNTNAP2
0.82,EPB41L3,RNPS1
0.82,EPB41L3,SRRM2
0.82,EPB41L3,ACIN1
0.82,EPB41L3,GPATCH8
0.82,EPB41L3,VANGL1
0.82,EPB41L3,SCML1
0.82,EPB41L3,AP3D1
0.82,EPB41L3,NUMA1
0.82,EPB41L3,ZC3H18
0.82,EPB41L3,PRMT5
0.82,EPB41L3,CWC22
0.82,EPB41L3,AP3B1
0.82,EPB41L3,SETD1A
0.82,EPB41L3,SAP18
0.87,EPB41L3,HSPA12A
0.82,EPB41L3,MLLT3
0.83,EPB41L3,EPB41L2
0.82,EPB41L3,YWHAE
0.82,EPB41L3,AP3S1
0.82,EPB41L3,NAF1
0.82,EPB41L3,SNRPB
0.82,EPB41L3,EPB41L1
0.82,EPB41L3,PNN
0.84,EPB41L3,CSNK2A1
0.82,EPB41L3,WDR77
0.82,EPB41L3,AP3M1
0.86,EPB41L3,DISC1
0.82,EPB41L4A,DVL3
0.82,EPB41L5,SETD1A
0.82,EPB41L5,DCAF5
0.82,EPB41L5,BOD1L1
0.82,EPB41L5,NAF1
0.82,EPB41L5,HIST1H2BO
0.82,EPB41L5,VANGL1
0.82,EPB41L5,UHRF1BP1
0.82,EPB41L5,CHD9
0.82,EPB41L5,NAGK
0.85,EPB41L5,MIB1
0.82,EPB41L5,CWC22
0.82,EPB41L5,CXXC1
0.82,EPB41L5,FHL2
0.82,EPB41L5,FNTA
0.82,EPB41L5,UBE2O
0.82,EPB41L5,CWC27
0.82,EPB41L5,MLLT3
0.82,EPB41L5,HECTD1
0.82,EPB41L5,DCAF8
0.82,EPB41L5,BRD2
0.87,EPB41L5,CRB1
0.82,EPB41L5,TJP2
0.82,EPB42,SLC4A1
0.82,EPB42,HSPA8
0.82,EPB42,SNX6
0.82,EPB42,SLC4A7
0.84,EPC1,E2F6
0.82,EPC1,BRD8
0.82,EPC1,EP400
0.83,EPC1,MEAF6
0.8,EPCAM,EPCAM
0.79,EPGN,EGFR
0.82,EPHA1,DYNC2LI1
0.82,EPHA1,LTN1
0.82,EPHA1,DYNC2H1
0.82,EPHA1,GSDME
0.82,EPHA1,XPOT
0.82,EPHA1,WDR13
0.82,EPHA1,XPO4
0.82,EPHA1,PRKDC
0.82,EPHA1,PEX19
0.82,EPHA1,MTHFR
0.82,EPHA1,NF1
0.82,EPHA1,NUCB1
0.82,EPHA1,DIAPH3
0.82,EPHA1,SMG9
0.82,EPHA1,ARMC9
0.82,EPHA1,SMG8
0.82,EPHA1,HEATR3
0.82,EPHA1,HOOK2
0.82,EPHA1,NCAPG2
0.82,EPHA1,DYM
0.82,EPHA1,NCAPH2
0.82,EPHA1,HIP1R
0.82,EPHA1,STK17B
0.82,EPHA1,CKAP5
0.82,EPHA1,USP34
0.82,EPHA1,KNTC1
0.82,EPHA1,KIF14
0.82,EPHA1,EXOC8
0.82,EPHA1,RELCH
0.82,EPHA1,AARS2
0.82,EPHA1,PBXIP1
0.82,EPHA1,CAMK1
0.82,EPHA1,RRP1
0.82,EPHA1,GBF1
0.82,EPHA1,EIF4G3
0.82,EPHA1,EIF2B2
0.82,EPHA1,EIF2B3
0.82,EPHA1,EIF2B4
0.82,EPHA1,EIF2B5
0.82,EPHA1,SLC39A11
0.82,EPHA1,NOP9
0.82,EPHA1,GTPBP3
0.82,EPHA1,MIGA1
0.82,EPHA1,SAAL1
0.82,EPHA1,LRBA
0.82,EPHA1,RINT1
0.82,EPHA1,FAM114A2
0.82,EPHA1,EXOC5
0.82,EPHA1,SMC2
0.82,EPHA1,STAG1
0.82,EPHA1,ELMO2
0.82,EPHA1,NCAPD3
0.82,EPHA1,EXOC7
0.82,EPHA1,EXOC6B
0.82,EPHA1,TBC1D9
0.82,EPHA1,SMG1
0.82,EPHA1,CAND2
0.88,EPHA2,PTPN11
0.79,EPHA2,GRB2
0.89,EPHA2,EPHA2
0.76,EPHA2,CBL
0.82,EPHA2,GOLIM4
0.83,EPHA2,MAP2K3
0.82,EPHA2,CTNNB1
0.84,EPHA3,CRK
0.89,EPHA4,EFNA1
0.88,EPHA4,EFNB2
0.88,EPHA4,EFNA4
0.89,EPHA4,EPHA4
0.83,EPHA4,FGFR1
0.88,EPHA4,FYN
0.82,EPHA4,FABP1
0.77,EPHA6,EFNA4
0.83,EPHA7,AFDN
0.86,EPHA7,EPHA3
0.85,EPHA7,EPHA2
0.82,EPHA7,SMOC1
0.82,EPHA7,EMC1
0.82,EPHA7,BORA
0.82,EPHA7,EPHA10
0.82,EPHA7,EPHA4
0.82,EPHA7,BCAM
0.82,EPHA7,HSPA5
0.82,EPHA7,OAF
0.82,EPHA7,WNT5A
0.82,EPHA7,TUBA4A
0.82,EPHA7,NID2
0.82,EPHA7,RPL23
0.89,EPHA8,FYN
0.82,EPHA8,ENDOG
0.78,EPHB1,NCK1
0.79,EPHB2,ABL1
0.96,EPHB2,SRC
0.77,EPHB2,EFNB1
0.96,EPHB2,EFNB2
0.96,EPHB2,EPHB2
0.91,EPHB2,PICK1
0.88,EPHB2,RASA1
0.81,EPHB2,YES1
0.88,EPHB3,FYN
0.79,EPHB3,RASA1
0.79,EPHB3,AFDN
0.85,EPHB3,CRK
0.82,EPHX1,MFSD8
0.82,EPHX1,RAB34
0.92,EPHX2,EPHX2
0.85,EPM2A,EPM2A
0.86,EPM2A,PPP1R3C
0.79,EPM2A,GSK3B
0.86,EPM2A,PRKAB2
0.87,EPM2AIP1,ZSCAN18
0.82,EPM2AIP1,DHX40
0.82,EPM2AIP1,MAD2L1
0.9,EPN1,REPS2
0.77,EPN1,AP2A1
0.97,EPN1,AP2A2
0.93,EPN1,CLTC
0.84,EPN1,EPN3
0.86,EPN1,BCAR1
0.85,EPN2,CLTC
0.83,EPN3,ARIH1
0.83,EPN3,PHGDH
0.83,EPN3,SHKBP1
0.83,EPN3,BTBD1
0.83,EPN3,UBB
0.87,EPN3,MID1
0.83,EPN3,VPS39
0.83,EPN3,KCTD10
0.83,EPN3,FEM1B
0.83,EPN3,KCTD3
0.83,EPN3,SMURF1
0.83,EPN3,EPN2
0.83,EPN3,TNKS2
0.83,EPN3,CASP2
0.83,EPN3,MID2
0.83,EPN3,TNKS
0.82,EPN3,MIB1
0.82,EPN3,UBR1
0.82,EPOP,EZH1
0.83,EPOP,PHF1
0.83,EPOP,PHF19
0.82,EPOP,MTF2
0.82,EPOP,ELOB
0.82,EPOP,RBBP7
0.89,EPOR,GRB2
0.88,EPOR,EPOR
0.83,EPOR,PLCG1
0.9,EPOR,PLCG2
0.84,EPOR,STAT5B
0.88,EPOR,INPP5D
0.9,EPOR,EPO
0.76,EPPIN,CLU
0.82,EPPIN,UMPS
0.89,EPRS,RARS
0.76,EPRS,SYNCRIP
0.78,EPRS,POU2F1
0.87,EPRS,QARS
0.87,EPRS,LARS
0.77,EPS15,REPS2
0.9,EPS15,AGFG1
0.89,EPS15,AP2A1
0.96,EPS15,ITSN1
0.89,EPS15,NUMB
0.9,EPS15,HGS
0.83,EPS15,STAM2
0.99,EPS15,AP2A2
0.97,EPS15,EPN1
0.87,EPS15,SNAP91
0.9,EPS15,EPS15
0.9,EPS15,CRK
0.88,EPS15,GRB2
0.81,EPS15,NECAP2
0.87,EPS15,AP2M1
0.87,EPS15,AP2S1
0.87,EPS15,AP2B1
0.83,EPS15,AP1B1
0.88,EPS15,FCHO2
0.82,EPS15,IQGAP1
0.88,EPS15,SGIP1
0.86,EPS15,FCHO1
0.78,EPS15,AP1G1
0.79,EPS15,PTPN3
0.8,EPS15L1,EPN1
0.82,EPS15L1,NDC80
0.88,EPS8,SRC
0.97,EPS8,EPS8
0.9,EPS8,EGFR
0.82,EPS8,AMPD2
0.83,EPS8L1,ABI1
0.82,EPSTI1,CST2
0.82,EPSTI1,CST4
0.82,EPSTI1,SERPINA5
0.82,EPSTI1,SNTG2
0.83,ERAL1,COL3A1
0.83,ERAL1,COL1A1
0.83,ERAL1,COL1A2
0.83,ERAL1,ATPAF1
0.82,ERAP1,APOL2
0.82,ERAP1,TMEM87A
0.82,ERAP1,MUL1
0.97,ERBB2,GRB2
0.9,ERBB2,CTNNB1
0.9,ERBB2,PTPN11
0.9,ERBB2,HSP90AA1
0.85,ERBB2,MUC1
0.9,ERBB2,ERBB2
0.9,ERBB2,STAT3
0.88,ERBB2,PTK6
0.77,ERBB2,KPNB1
0.81,ERBB2,STUB1
0.78,ERBB2,H2AFY
0.82,ERBB2,POLR1B
0.86,ERBB2,VAPA
0.84,ERBB2,KDELR2
0.86,ERBB2,TFRC
0.86,ERBB2,HSPA5
0.86,ERBB2,VAPB
0.86,ERBB2,ATP1A1
0.82,ERBB2,GAPDH
0.84,ERBB2,FGFR4
0.84,ERBB2,EPHA2
0.84,ERBB2,PTPN6
0.82,ERBB2,PTPRA
0.82,ERBB2,LRIG3
0.82,ERBB2,INSRR
0.78,ERBB2,LYN
0.97,ERBB3,PIK3R1
0.89,ERBB3,GRB2
0.9,ERBB3,ERBB3
0.9,ERBB3,RNF41
0.9,ERBB3,PIK3R2
0.9,ERBB3,EGFR
0.9,ERBB3,NRG1
0.83,ERBB3,MUC1
0.97,ERBB3,ERBB2
0.87,ERBB3,PIK3CA
0.86,ERBB3,HDAC6
0.82,ERBB3,HSP90AB1
0.92,ERBB3,PTPN11
0.87,ERBB3,TUBA4A
0.88,ERBB3,S100A10
0.82,ERBB3,PDF
0.83,ERBB3,HLA-DPA1
0.83,ERBB3,SLC31A1
0.82,ERBB3,TUBB8
0.82,ERBB3,HSPA1A
0.86,ERBB3,HSPA8
0.78,ERBB3,PTPN6
0.82,ERBB3,PPM1B
0.82,ERBB3,HLA-A
0.76,ERBB3,S100A4
0.85,ERBB4,ERBB3
0.84,ERBB4,DLG3
0.9,ERBB4,ERBB4
0.9,ERBB4,SHC1
0.86,ERBB4,CRK
0.86,ERBB4,PIK3R2
0.89,ERBB4,GRB2
0.96,ERBB4,ERBB2
0.9,ERBB4,NRG1
0.83,ERBB4,MUC1
0.88,ERBB4,PTPN11
0.84,ERBB4,NCK1
0.89,ERBB4,ITCH
0.86,ERBB4,HDAC6
0.76,ERBB4,S100A4
0.97,ERBIN,ERBB2
0.77,ERBIN,CDH1
0.76,ERBIN,CTNND1
0.89,ERBIN,ARVCF
0.82,ERBIN,SMAD7
0.96,ERBIN,SMAD3
0.9,ERBIN,PKP4
0.89,ERBIN,SMAD2
0.82,ERBIN,SMAD4
0.78,ERBIN,ERBIN
0.88,ERBIN,NOD2
0.87,ERBIN,ITGB4
0.84,ERBIN,KCNA4
0.84,ERBIN,GRIN2C
0.86,ERBIN,HRAS
0.84,ERC1,RAB6A
0.9,ERC1,YWHAG
0.82,ERC1,IKBKG
0.79,ERC2,PPFIA2
0.78,ERC2,PPFIA3
0.89,ERC2,RIMS1
0.86,ERC2,UNC13A
0.83,ERCC1,SLX4IP
0.82,ERCC1,MUS81
0.94,ERCC2,GTF2H3
0.99,ERCC2,MNAT1
0.89,ERCC2,MMS19
0.83,ERCC2,GTF2E1
0.85,ERCC2,POLR2A
0.97,ERCC3,ERCC2
0.89,ERCC3,ERCC5
0.82,ERCC3,COX11
0.82,ERCC3,LRRC41
0.82,ERCC3,ZNF143
0.82,ERCC3,USP7
0.99,ERCC4,ERCC1
0.9,ERCC4,ERCC4
0.78,ERCC4,RPA1
0.8,ERCC5,POLR2A
0.9,ERCC5,ERCC2
0.82,ERCC5,GTF2H2
0.82,ERCC6,PARP1
0.9,ERCC6,ERCC8
0.88,ERCC6,ERCC5
0.78,ERCC6,PCNA
0.77,ERCC6,BRCA1
0.81,ERCC6,USP7
0.79,ERCC6,RBBP4
0.78,ERCC6,GATAD2B
0.78,ERCC6,NONO
0.78,ERCC6,PSMC5
0.78,ERCC6,POLR2H
0.78,ERCC6,XRCC5
0.78,ERCC6,MTA2
0.76,ERCC6L,RB1CC1
0.76,ERCC6L,RPA3
0.82,ERCC6L,CHEK1
0.82,ERCC6L,SIX1
0.82,ERCC6L,MIDN
0.77,ERCC8,GTF2H2
0.89,ERCC8,LOC100290337
0.88,ERCC8,CUL4A
0.88,ERCC8,CUL4B
0.83,ERCC8,COPS8
0.79,ERCC8,RBX1
0.76,ERCC8,UVSSA
0.89,EREG,EGFR
0.82,EREG,LGALS1
0.83,EREG,TMX4
0.83,EREG,RAB4A
0.76,ERG,JUN
0.78,ERG,ETS2
0.88,ERG,PARP1
0.76,ERG,XRCC5
0.76,ERG,XRCC6
0.78,ERG,PRPF8
0.78,ERG,PCBP1
0.78,ERG,RPLP0
0.78,ERG,HNRNPDL
0.78,ERG,ACTB
0.78,ERG,HNRNPU
0.78,ERG,HNRNPA2B1
0.8,ERG,USP9X
0.8,ERG,SPOP
0.82,ERG,EP300
0.78,ERG,RING1
0.78,ERG,TRIM33
0.82,ERGIC1,FAF2
0.82,ERGIC1,GOLGB1
0.87,ERGIC1,EFNB1
0.83,ERGIC1,INA
0.82,ERGIC2,MAGT1
0.9,ERGIC3,ERGIC1
0.83,ERGIC3,ERGIC3
0.83,ERGIC3,EXT1
0.82,ERGIC3,STOM
0.83,ERGIC3,PARL
0.82,ERGIC3,NDC1
0.83,ERGIC3,TMEM223
0.83,ERGIC3,YIPF3
0.83,ERGIC3,TMEM184B
0.83,ERGIC3,TMEM87A
0.83,ERGIC3,SLC30A9
0.83,ERGIC3,DOLK
0.83,ERGIC3,BDH1
0.83,ERGIC3,SGPP1
0.83,ERGIC3,VMP1
0.83,ERGIC3,STARD3
0.83,ERGIC3,SLC16A13
0.83,ERGIC3,CLPTM1
0.83,ERGIC3,SLC26A2
0.82,ERGIC3,SLC25A46
0.82,ERGIC3,ANKRD13A
0.83,ERGIC3,ANKRD13D
0.83,ERGIC3,TMEM192
0.94,ERGIC3,ERGIC2
0.82,ERGIC3,COX16
0.83,ERGIC3,WRB
0.83,ERGIC3,LMBRD2
0.83,ERGIC3,NR2F2
0.83,ERGIC3,MFAP3
0.83,ERGIC3,CHPT1
0.83,ERGIC3,PXMP2
0.87,ERGIC3,SFXN5
0.82,ERGIC3,COPG1
0.82,ERGIC3,VAMP5
0.82,ERGIC3,SYNGR1
0.76,ERGIC3,HP
0.87,ERGIC3,2-Mar
0.76,ERGIC3,SERPINA1
0.83,ERH,TASOR2
0.82,ERH,CIZ1
0.89,ERH,CHTOP
0.83,ERI2,DNAJC12
0.82,ERI2,FLNC
0.83,ERLEC1,ATF6B
0.83,ERLEC1,CNTNAP3
0.83,ERLEC1,ATF6
0.9,ERLIN1,ERLIN2
0.82,ERLIN1,SYVN1
0.82,ERLIN1,C6orf120
0.82,ERLIN1,DUSP3
0.86,ERLIN2,TMUB1
0.83,ERLIN2,SYVN1
0.82,ERLIN2,AMIGO1
0.83,ERLIN2,FKBP14
0.83,ERLIN2,GSTM5
0.86,ERLIN2,SEC61B
0.87,ERLIN2,HSPA5
0.82,ERLIN2,CD109
0.84,ERLIN2,CANX
0.82,ERLIN2,CACNA2D1
0.83,ERLIN2,RNF170
0.82,ERMAP,FAM199X
0.82,ERMAP,ZC3H18
0.82,ERMAP,ELMO2
0.82,ERMAP,AKAP11
0.82,ERMAP,MECOM
0.82,ERMAP,PRKAR1B
0.82,ERMAP,AP3B1
0.82,ERMAP,CWC22
0.82,ERMAP,DOCK4
0.82,ERMAP,USP34
0.89,ERN1,TRAF2
0.85,ERN1,MAP3K5
0.9,ERN1,ERN1
0.83,ERN1,COPS5
0.9,ERN1,HSPA5
0.79,ERN1,HSP90AA1
0.82,ERN1,SEL1L
0.82,ERN1,USP14
0.9,ERO1A,P4HB
0.86,ERO1A,ERP44
0.86,ERO1A,PDIA4
0.88,ERO1B,P4HB
0.88,ERO1B,ERP44
0.93,ERO1B,PDIA4
0.83,ERO1B,ERO1A
0.83,ERO1B,ATP4A
0.83,ERO1B,FBXO2
0.78,ERP29,HSPA5
0.82,ERP29,ALDH16A1
0.82,ERP29,GLB1L
0.82,ERP29,ARSB
0.82,ERP29,DERA
0.82,ERP44,ZFPM1
0.82,ERP44,HOXA5
0.82,ERP44,ZMYM1
0.82,ERP44,ZNF777
0.82,ERP44,RBBP8
0.82,ERP44,MIGA1
0.82,ERP44,PRIM2
0.82,ERP44,MEX3A
0.82,ERP44,POLD2
0.82,ERP44,BCOR
0.82,ERP44,GNL3L
0.82,ERP44,PXDN
0.82,ERP44,ITPKC
0.82,ERP44,ZNF212
0.82,ERP44,BTD
0.82,ERP44,SUMF1
0.82,ERP44,DCP1B
0.82,ERP44,DAPK1
0.82,ERP44,STXBP4
0.82,ERP44,TNIP1
0.82,ERP44,FN1
0.88,ERRFI1,ERBB2
0.79,ERRFI1,CDC42
0.9,ERRFI1,EGFR
0.96,ERRFI1,GRB2
0.87,ERRFI1,YWHAE
0.78,ESCO1,ESCO1
0.79,ESD,ESD
0.83,ESD,FSD2
0.82,ESPL1,PPP2R1A
0.88,ESPL1,PPP2CA
0.87,ESPL1,CCNB1
0.89,ESPN,BAIAP2
0.9,ESR1,BRCA1
0.84,ESR1,POU4F2
0.86,ESR1,CALM1
0.79,ESR1,CDC25B
0.87,ESR1,PHB2
0.83,ESR1,JUNB
0.86,ESR1,MPG
0.85,ESR1,RBM23
0.86,ESR1,FHL2
0.76,ESR1,TRIM28
0.8,ESR1,GNAI1
0.84,ESR1,IGF1R
0.8,ESR1,NFKB1
0.89,ESR1,RELA
0.84,ESR1,RXRA
0.87,ESR1,SP1
0.81,ESR1,TSC2
0.76,ESR1,CITED1
0.85,ESR1,POU4F1
0.83,ESR1,PRKACA
0.81,ESR1,PSMC5
0.89,ESR1,SP3
0.87,ESR1,FOXO3
0.77,ESR1,RNF4
0.89,ESR1,PRMT1
0.77,ESR1,SMAD3
0.86,ESR1,RARA
0.86,ESR1,ESRRA
0.78,ESR1,UBE2I
0.86,ESR1,CCNH
0.86,ESR1,HEXIM1
0.86,ESR1,CCNT1
0.9,ESR1,KAT5
0.81,ESR1,TUBB
0.84,ESR1,TUBA1B
0.89,ESR1,HSPA4
0.82,ESR1,KMT2D
0.77,ESR1,CTNNB1
0.86,ESR1,KIF1A
0.87,ESR1,MTCH2
0.88,ESR1,EGFR
0.89,ESR1,NR2F1
0.9,ESR1,ESR1
0.87,ESR1,FKBP5
0.87,ESR1,FKBP4
0.79,ESR1,MGMT
0.86,ESR1,STAT3
0.9,ESR1,MED12
0.9,ESR1,MED14
0.89,ESR1,MED23
0.89,ESR1,MED16
0.89,ESR1,MED6
0.89,ESR1,MED20
0.78,ESR1,MED10
0.84,ESR1,MED17
0.88,ESR1,MED13
0.89,ESR1,CCNC
0.9,ESR1,DDX17
0.88,ESR1,TRAM1
0.85,ESR1,RBBP5
0.85,ESR1,ASH2L
0.88,ESR1,BTF3
0.84,ESR1,MTA2
0.87,ESR1,MTA3
0.85,ESR1,GRIP1
0.87,ESR1,MED25
0.81,ESR1,UBE3A
0.79,ESR1,STAU1
0.77,ESR1,TOP2B
0.79,ESR1,HNRNPA2B1
0.78,ESR1,CLTC
0.87,ESR1,RPLP0
0.77,ESR1,U2SURP
0.84,ESR1,MRPS22
0.84,ESR1,MRPS35
0.78,ESR1,PABPC1
0.84,ESR1,SERPINH1
0.78,ESR1,EMD
0.87,ESR1,RPL36AL
0.78,ESR1,ARG1
0.78,ESR1,SLC25A5
0.84,ESR1,S100A8
0.77,ESR1,ELMSAN1
0.84,ESR1,PTCD3
0.85,ESR1,RPL10
0.82,ESR1,HSPA8
0.78,ESR1,DSG1
0.77,ESR1,TOP1
0.82,ESR1,DHX9
0.82,ESR1,EP400
0.81,ESR1,HNRNPA1
0.79,ESR1,HIF1A
0.78,ESR1,DBN1
0.77,ESR1,RPN1
0.77,ESR1,RPN2
0.85,ESR1,RBBP7
0.77,ESR1,CAPRIN1
0.82,ESR1,NCL
0.77,ESR1,PARP1
0.77,ESR1,RPL7A
0.78,ESR1,HDAC2
0.82,ESR1,ATP9A
0.78,ESR1,RPS11
0.77,ESR1,RPS16
0.82,ESR1,RPS15A
0.77,ESR1,RPS8
0.82,ESR1,RPS18
0.85,ESR1,RPS14
0.84,ESR1,RRP1B
0.79,ESR1,RBBP4
0.84,ESR1,DDX27
0.84,ESR1,MRPS27
0.82,ESR1,WDR36
0.78,ESR1,RPL7
0.78,ESR1,GAPDH
0.78,ESR1,
0.77,ESR1,RPL8
0.84,ESR1,MRPS31
0.82,ESR1,MYBBP1A
0.82,ESR1,EIF4G1
0.82,ESR1,POP1
0.84,ESR1,BUD13
0.85,ESR1,RPS26
0.78,ESR1,HNRNPD
0.79,ESR1,ILF3
0.78,ESR1,ILF2
0.82,ESR1,DDX50
0.87,ESR1,RPS4X
0.79,ESR1,RPL9
0.77,ESR1,RPL28
0.77,ESR1,RPS9
0.84,ESR1,UTP14A
0.78,ESR1,CLTCL1
0.82,ESR1,DDX3X
0.83,ESR1,IQGAP1
0.78,ESR1,SF3B1
0.77,ESR1,NUMA1
0.83,ESR1,SRPK2
0.85,ESR1,EIF4A1
0.78,ESR1,RPS20
0.84,ESR1,GNL3
0.87,ESR1,ACTB
0.77,ESR1,MYO1B
0.86,ESR1,MYL6
0.78,ESR1,ANXA2
0.77,ESR1,GTPBP4
0.85,ESR1,AKAP8
0.77,ESR1,MYO1C
0.83,ESR1,SRPK1
0.83,ESR1,EPB41L5
0.77,ESR1,EWSR1
0.82,ESR1,INTS1
0.82,ESR1,UTP3
